,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
105,0 days 01:45:05.415000,29.6,68.4,1008.0,False,32.3,167,2.1
106,0 days 01:46:05.430000,29.7,68.3,1008.1,False,32.6,206,2.5
108,0 days 01:48:05.455000,29.7,68.2,1008.1,False,32.7,166,2.2
110,0 days 01:50:05.480000,29.8,68.1,1008.1,False,32.7,175,1.7
112,0 days 01:52:05.507000,29.8,68.1,1008.0,False,32.7,184,1.9
113,0 days 01:53:05.529000,29.9,68.4,1008.1,False,32.8,180,2.2
115,0 days 01:55:05.546000,29.9,68.3,1008.1,False,32.5,196,2.4
117,0 days 01:57:05.573000,29.8,68.6,1008.1,False,32.4,185,2.1
119,0 days 01:59:05.598000,29.7,68.9,1008.1,False,32.6,163,2.0
121,0 days 02:01:05.624000,29.7,68.8,1008.1,False,32.5,175,1.7
122,0 days 02:02:05.638000,29.7,69.1,1008.1,False,32.5,185,1.7
124,0 days 02:04:05.663000,29.8,68.7,1008.1,False,32.7,192,1.9
126,0 days 02:06:05.692000,29.9,69.0,1008.2,False,32.6,187,1.5
128,0 days 02:08:05.717000,29.9,69.6,1008.2,False,32.4,169,1.8
129,0 days 02:09:05.731000,29.8,69.2,1008.3,False,32.4,195,1.9
19,0 days 00:19:04.232000,30.0,65.2,1007.4,False,34.0,177,1.1
22,0 days 00:22:04.268000,29.9,64.5,1007.5,False,33.7,170,1.7
24,0 days 00:24:04.434000,29.9,64.5,1007.4,False,33.8,170,1.7
27,0 days 00:27:04.332000,29.7,64.0,1007.6,False,33.2,189,2.0
30,0 days 00:30:04.374000,29.8,63.7,1007.7,False,33.8,165,2.4
32,0 days 00:32:04.403000,29.9,64.0,1007.8,False,33.9,176,1.2
33,0 days 00:33:04.416000,30.0,63.8,1007.8,False,34.1,152,2.3
35,0 days 00:35:04.444000,30.1,63.2,1007.7,False,34.0,164,1.8
37,0 days 00:37:04.472000,30.3,63.1,1007.8,False,33.7,173,1.8
39,0 days 00:39:04.501000,30.2,63.2,1007.9,False,33.5,172,1.6
41,0 days 00:41:04.531000,30.2,63.3,1007.8,False,33.8,167,2.0
43,0 days 00:43:04.555000,30.0,63.8,1007.9,False,33.5,171,2.0
44,0 days 00:44:04.570000,30.1,63.2,1007.9,False,33.5,170,3.5
46,0 days 00:46:04.597000,30.2,63.3,1007.9,False,33.6,176,2.0
48,0 days 00:48:04.625000,30.1,64.2,1008.0,False,33.5,198,1.9
50,0 days 00:50:04.652000,30.1,64.3,1007.9,False,33.6,178,1.8
52,0 days 00:52:04.682000,30.1,64.4,1007.9,False,33.4,184,1.8
54,0 days 00:54:04.708000,30.0,65.1,1007.8,False,33.4,178,2.2
55,0 days 00:55:04.722000,30.1,65.3,1007.8,False,33.4,181,2.2
57,0 days 00:57:04.750000,30.0,65.7,1007.7,False,33.0,180,2.4
59,0 days 00:59:04.777000,30.0,64.8,1007.8,False,33.1,179,2.6
61,0 days 01:01:04.806000,29.8,65.3,1007.8,False,32.8,176,2.7
63,0 days 01:03:04.835000,29.8,65.4,1007.8,False,33.1,182,2.1
64,0 days 01:04:04.849000,29.8,65.3,1007.9,False,33.0,178,1.9
66,0 days 01:06:04.876000,29.8,65.5,1007.9,False,32.8,176,1.8
68,0 days 01:08:04.907000,29.8,65.6,1007.8,False,32.8,182,2.0
70,0 days 01:10:04.933000,29.8,65.8,1007.8,False,33.0,178,2.1
72,0 days 01:12:04.963000,29.9,66.2,1007.8,False,32.9,182,2.4
73,0 days 01:13:04.976000,29.8,66.4,1007.9,False,33.0,183,1.9
75,0 days 01:15:05.003000,29.9,66.0,1007.9,False,32.8,179,2.0
77,0 days 01:17:05.081000,29.8,66.4,1007.9,False,32.8,174,1.9
79,0 days 01:19:05.082000,29.8,66.6,1007.8,False,32.8,170,2.2
81,0 days 01:21:05.343000,29.9,66.5,1007.8,False,32.9,199,1.8
82,0 days 01:22:05.114000,29.9,67.2,1007.9,False,33.0,196,2.0
84,0 days 01:24:05.147000,29.8,67.2,1007.9,False,32.9,184,1.8
86,0 days 01:26:05.160000,29.8,66.9,1008.0,False,32.8,181,2.6
88,0 days 01:28:05.187000,29.8,67.1,1007.9,False,32.7,172,2.1
89,0 days 01:29:05.199000,29.9,66.8,1007.9,False,32.9,187,2.1
91,0 days 01:31:05.230000,29.8,67.6,1007.9,False,32.9,168,2.7
93,0 days 01:33:05.258000,29.7,67.5,1007.9,False,32.4,173,2.6
95,0 days 01:35:05.288000,29.6,68.1,1008.0,False,32.3,176,2.3
97,0 days 01:37:05.311000,29.6,67.7,1008.0,False,32.3,184,2.5
99,0 days 01:39:05.336000,29.7,67.6,1007.9,False,32.2,180,2.1
101,0 days 01:41:05.362000,29.6,68.1,1008.1,False,32.2,172,2.3
102,0 days 01:42:05.376000,29.7,68.1,1007.9,False,32.2,176,1.9
104,0 days 01:44:05.402000,29.6,68.5,1008.1,False,32.2,179,2.2
106,0 days 01:46:05.430000,29.7,68.3,1008.1,False,32.6,206,2.5
108,0 days 01:48:05.455000,29.7,68.2,1008.1,False,32.7,166,2.2
109,0 days 01:49:05.489000,29.8,67.9,1008.1,False,32.8,173,2.2
111,0 days 01:51:05.493000,29.8,68.0,1008.2,False,32.7,171,2.0
113,0 days 01:53:05.529000,29.9,68.4,1008.1,False,32.8,180,2.2
115,0 days 01:55:05.546000,29.9,68.3,1008.1,False,32.5,196,2.4
117,0 days 01:57:05.573000,29.8,68.6,1008.1,False,32.4,185,2.1
118,0 days 01:58:05.586000,29.7,68.9,1008.1,False,32.4,171,1.9
120,0 days 02:00:05.615000,29.8,68.9,1008.1,False,32.6,189,2.2
122,0 days 02:02:05.638000,29.7,69.1,1008.1,False,32.5,185,1.7
124,0 days 02:04:05.663000,29.8,68.7,1008.1,False,32.7,192,1.9
125,0 days 02:05:05.678000,29.9,69.0,1008.2,False,32.7,183,2.1
127,0 days 02:07:05.703000,29.8,69.5,1008.3,False,32.5,182,1.8
129,0 days 02:09:05.731000,29.8,69.2,1008.3,False,32.4,195,1.9
19,0 days 00:19:04.232000,30.0,65.2,1007.4,False,34.0,177,1.1
22,0 days 00:22:04.268000,29.9,64.5,1007.5,False,33.7,170,1.7
24,0 days 00:24:04.434000,29.9,64.5,1007.4,False,33.8,170,1.7
27,0 days 00:27:04.332000,29.7,64.0,1007.6,False,33.2,189,2.0
30,0 days 00:30:04.374000,29.8,63.7,1007.7,False,33.8,165,2.4
32,0 days 00:32:04.403000,29.9,64.0,1007.8,False,33.9,176,1.2
33,0 days 00:33:04.416000,30.0,63.8,1007.8,False,34.1,152,2.3
35,0 days 00:35:04.444000,30.1,63.2,1007.7,False,34.0,164,1.8
37,0 days 00:37:04.472000,30.3,63.1,1007.8,False,33.7,173,1.8
39,0 days 00:39:04.501000,30.2,63.2,1007.9,False,33.5,172,1.6
41,0 days 00:41:04.531000,30.2,63.3,1007.8,False,33.8,167,2.0
42,0 days 00:42:04.540000,30.1,63.1,1007.9,False,33.5,171,3.3
44,0 days 00:44:04.570000,30.1,63.2,1007.9,False,33.5,170,3.5
46,0 days 00:46:04.597000,30.2,63.3,1007.9,False,33.6,176,2.0
48,0 days 00:48:04.625000,30.1,64.2,1008.0,False,33.5,198,1.9
50,0 days 00:50:04.652000,30.1,64.3,1007.9,False,33.6,178,1.8
52,0 days 00:52:04.682000,30.1,64.4,1007.9,False,33.4,184,1.8
53,0 days 00:53:04.847000,30.1,64.5,1007.9,False,33.4,190,2.1
55,0 days 00:55:04.722000,30.1,65.3,1007.8,False,33.4,181,2.2
57,0 days 00:57:04.750000,30.0,65.7,1007.7,False,33.0,180,2.4
59,0 days 00:59:04.777000,30.0,64.8,1007.8,False,33.1,179,2.6
61,0 days 01:01:04.806000,29.8,65.3,1007.8,False,32.8,176,2.7
62,0 days 01:02:04.820000,29.7,65.4,1007.7,False,32.8,169,2.2
64,0 days 01:04:04.849000,29.8,65.3,1007.9,False,33.0,178,1.9
66,0 days 01:06:04.876000,29.8,65.5,1007.9,False,32.8,176,1.8
68,0 days 01:08:04.907000,29.8,65.6,1007.8,False,32.8,182,2.0
70,0 days 01:10:04.933000,29.8,65.8,1007.8,False,33.0,178,2.1
71,0 days 01:11:04.948000,29.9,65.8,1007.8,False,33.0,190,2.2
73,0 days 01:13:04.976000,29.8,66.4,1007.9,False,33.0,183,1.9
75,0 days 01:15:05.003000,29.9,66.0,1007.9,False,32.8,179,2.0
77,0 days 01:17:05.081000,29.8,66.4,1007.9,False,32.8,174,1.9
78,0 days 01:18:05.062000,29.8,66.5,1007.9,False,32.8,181,2.0
80,0 days 01:20:05.162000,29.8,66.9,1007.8,False,32.9,190,2.0
82,0 days 01:22:05.114000,29.9,67.2,1007.9,False,33.0,196,2.0
84,0 days 01:24:05.147000,29.8,67.2,1007.9,False,32.9,184,1.8
86,0 days 01:26:05.160000,29.8,66.9,1008.0,False,32.8,181,2.6
87,0 days 01:27:05.173000,29.8,67.3,1007.8,False,32.8,175,1.9
89,0 days 01:29:05.199000,29.9,66.8,1007.9,False,32.9,187,2.1
91,0 days 01:31:05.230000,29.8,67.6,1007.9,False,32.9,168,2.7
93,0 days 01:33:05.258000,29.7,67.5,1007.9,False,32.4,173,2.6
95,0 days 01:35:05.288000,29.6,68.1,1008.0,False,32.3,176,2.3
97,0 days 01:37:05.311000,29.6,67.7,1008.0,False,32.3,184,2.5
99,0 days 01:39:05.336000,29.7,67.6,1007.9,False,32.2,180,2.1
100,0 days 01:40:05.349000,29.6,67.8,1008.0,False,32.2,170,2.2
102,0 days 01:42:05.376000,29.7,68.1,1007.9,False,32.2,176,1.9
104,0 days 01:44:05.402000,29.6,68.5,1008.1,False,32.2,179,2.2
106,0 days 01:46:05.430000,29.7,68.3,1008.1,False,32.6,206,2.5
108,0 days 01:48:05.455000,29.7,68.2,1008.1,False,32.7,166,2.2
109,0 days 01:49:05.489000,29.8,67.9,1008.1,False,32.8,173,2.2
111,0 days 01:51:05.493000,29.8,68.0,1008.2,False,32.7,171,2.0
113,0 days 01:53:05.529000,29.9,68.4,1008.1,False,32.8,180,2.2
115,0 days 01:55:05.546000,29.9,68.3,1008.1,False,32.5,196,2.4
116,0 days 01:56:05.561000,29.9,68.4,1008.1,False,32.4,178,2.0
118,0 days 01:58:05.586000,29.7,68.9,1008.1,False,32.4,171,1.9
120,0 days 02:00:05.615000,29.8,68.9,1008.1,False,32.6,189,2.2
122,0 days 02:02:05.638000,29.7,69.1,1008.1,False,32.5,185,1.7
123,0 days 02:03:05.652000,29.8,69.1,1008.1,False,32.5,172,1.7
125,0 days 02:05:05.678000,29.9,69.0,1008.2,False,32.7,183,2.1
127,0 days 02:07:05.703000,29.8,69.5,1008.3,False,32.5,182,1.8
129,0 days 02:09:05.731000,29.8,69.2,1008.3,False,32.4,195,1.9
19,0 days 00:19:04.232000,30.0,65.2,1007.4,False,34.0,177,1.1
22,0 days 00:22:04.268000,29.9,64.5,1007.5,False,33.7,170,1.7
24,0 days 00:24:04.434000,29.9,64.5,1007.4,False,33.8,170,1.7
27,0 days 00:27:04.332000,29.7,64.0,1007.6,False,33.2,189,2.0
30,0 days 00:30:04.374000,29.8,63.7,1007.7,False,33.8,165,2.4
32,0 days 00:32:04.403000,29.9,64.0,1007.8,False,33.9,176,1.2
33,0 days 00:33:04.416000,30.0,63.8,1007.8,False,34.1,152,2.3
35,0 days 00:35:04.444000,30.1,63.2,1007.7,False,34.0,164,1.8
37,0 days 00:37:04.472000,30.3,63.1,1007.8,False,33.7,173,1.8
39,0 days 00:39:04.501000,30.2,63.2,1007.9,False,33.5,172,1.6
41,0 days 00:41:04.531000,30.2,63.3,1007.8,False,33.8,167,2.0
42,0 days 00:42:04.540000,30.1,63.1,1007.9,False,33.5,171,3.3
44,0 days 00:44:04.570000,30.1,63.2,1007.9,False,33.5,170,3.5
46,0 days 00:46:04.597000,30.2,63.3,1007.9,False,33.6,176,2.0
48,0 days 00:48:04.625000,30.1,64.2,1008.0,False,33.5,198,1.9
50,0 days 00:50:04.652000,30.1,64.3,1007.9,False,33.6,178,1.8
52,0 days 00:52:04.682000,30.1,64.4,1007.9,False,33.4,184,1.8
53,0 days 00:53:04.847000,30.1,64.5,1007.9,False,33.4,190,2.1
55,0 days 00:55:04.722000,30.1,65.3,1007.8,False,33.4,181,2.2
57,0 days 00:57:04.750000,30.0,65.7,1007.7,False,33.0,180,2.4
59,0 days 00:59:04.777000,30.0,64.8,1007.8,False,33.1,179,2.6
61,0 days 01:01:04.806000,29.8,65.3,1007.8,False,32.8,176,2.7
62,0 days 01:02:04.820000,29.7,65.4,1007.7,False,32.8,169,2.2
64,0 days 01:04:04.849000,29.8,65.3,1007.9,False,33.0,178,1.9
66,0 days 01:06:04.876000,29.8,65.5,1007.9,False,32.8,176,1.8
68,0 days 01:08:04.907000,29.8,65.6,1007.8,False,32.8,182,2.0
70,0 days 01:10:04.933000,29.8,65.8,1007.8,False,33.0,178,2.1
71,0 days 01:11:04.948000,29.9,65.8,1007.8,False,33.0,190,2.2
73,0 days 01:13:04.976000,29.8,66.4,1007.9,False,33.0,183,1.9
75,0 days 01:15:05.003000,29.9,66.0,1007.9,False,32.8,179,2.0
77,0 days 01:17:05.081000,29.8,66.4,1007.9,False,32.8,174,1.9
78,0 days 01:18:05.062000,29.8,66.5,1007.9,False,32.8,181,2.0
80,0 days 01:20:05.162000,29.8,66.9,1007.8,False,32.9,190,2.0
82,0 days 01:22:05.114000,29.9,67.2,1007.9,False,33.0,196,2.0
84,0 days 01:24:05.147000,29.8,67.2,1007.9,False,32.9,184,1.8
86,0 days 01:26:05.160000,29.8,66.9,1008.0,False,32.8,181,2.6
87,0 days 01:27:05.173000,29.8,67.3,1007.8,False,32.8,175,1.9
89,0 days 01:29:05.199000,29.9,66.8,1007.9,False,32.9,187,2.1
91,0 days 01:31:05.230000,29.8,67.6,1007.9,False,32.9,168,2.7
93,0 days 01:33:05.258000,29.7,67.5,1007.9,False,32.4,173,2.6
95,0 days 01:35:05.288000,29.6,68.1,1008.0,False,32.3,176,2.3
97,0 days 01:37:05.311000,29.6,67.7,1008.0,False,32.3,184,2.5
98,0 days 01:38:05.323000,29.6,68.0,1008.0,False,32.2,179,2.0
100,0 days 01:40:05.349000,29.6,67.8,1008.0,False,32.2,170,2.2
102,0 days 01:42:05.376000,29.7,68.1,1007.9,False,32.2,176,1.9
104,0 days 01:44:05.402000,29.6,68.5,1008.1,False,32.2,179,2.2
105,0 days 01:45:05.415000,29.6,68.4,1008.0,False,32.3,167,2.1
107,0 days 01:47:05.441000,29.7,68.3,1008.0,False,32.5,169,2.3
109,0 days 01:49:05.489000,29.8,67.9,1008.1,False,32.8,173,2.2
111,0 days 01:51:05.493000,29.8,68.0,1008.2,False,32.7,171,2.0
113,0 days 01:53:05.529000,29.9,68.4,1008.1,False,32.8,180,2.2
114,0 days 01:54:05.535000,29.9,68.2,1008.0,False,32.7,176,2.1
116,0 days 01:56:05.561000,29.9,68.4,1008.1,False,32.4,178,2.0
118,0 days 01:58:05.586000,29.7,68.9,1008.1,False,32.4,171,1.9
120,0 days 02:00:05.615000,29.8,68.9,1008.1,False,32.6,189,2.2
121,0 days 02:01:05.624000,29.7,68.8,1008.1,False,32.5,175,1.7
123,0 days 02:03:05.652000,29.8,69.1,1008.1,False,32.5,172,1.7
125,0 days 02:05:05.678000,29.9,69.0,1008.2,False,32.7,183,2.1
127,0 days 02:07:05.703000,29.8,69.5,1008.3,False,32.5,182,1.8
128,0 days 02:08:05.717000,29.9,69.6,1008.2,False,32.4,169,1.8
130,0 days 02:10:05.744000,29.8,69.3,1008.3,False,32.4,178,2.4
19,0 days 00:19:04.232000,30.0,65.2,1007.4,False,34.0,177,1.1
22,0 days 00:22:04.268000,29.9,64.5,1007.5,False,33.7,170,1.7
24,0 days 00:24:04.434000,29.9,64.5,1007.4,False,33.8,170,1.7
27,0 days 00:27:04.332000,29.7,64.0,1007.6,False,33.2,189,2.0
30,0 days 00:30:04.374000,29.8,63.7,1007.7,False,33.8,165,2.4
32,0 days 00:32:04.403000,29.9,64.0,1007.8,False,33.9,176,1.2
33,0 days 00:33:04.416000,30.0,63.8,1007.8,False,34.1,152,2.3
35,0 days 00:35:04.444000,30.1,63.2,1007.7,False,34.0,164,1.8
37,0 days 00:37:04.472000,30.3,63.1,1007.8,False,33.7,173,1.8
39,0 days 00:39:04.501000,30.2,63.2,1007.9,False,33.5,172,1.6
41,0 days 00:41:04.531000,30.2,63.3,1007.8,False,33.8,167,2.0
43,0 days 00:43:04.555000,30.0,63.8,1007.9,False,33.5,171,2.0
44,0 days 00:44:04.570000,30.1,63.2,1007.9,False,33.5,170,3.5
46,0 days 00:46:04.597000,30.2,63.3,1007.9,False,33.6,176,2.0
48,0 days 00:48:04.625000,30.1,64.2,1008.0,False,33.5,198,1.9
50,0 days 00:50:04.652000,30.1,64.3,1007.9,False,33.6,178,1.8
52,0 days 00:52:04.682000,30.1,64.4,1007.9,False,33.4,184,1.8
54,0 days 00:54:04.708000,30.0,65.1,1007.8,False,33.4,178,2.2
56,0 days 00:56:04.738000,30.1,64.8,1007.8,False,33.0,191,2.2
57,0 days 00:57:04.750000,30.0,65.7,1007.7,False,33.0,180,2.4
59,0 days 00:59:04.777000,30.0,64.8,1007.8,False,33.1,179,2.6
61,0 days 01:01:04.806000,29.8,65.3,1007.8,False,32.8,176,2.7
63,0 days 01:03:04.835000,29.8,65.4,1007.8,False,33.1,182,2.1
65,0 days 01:05:04.863000,29.8,65.5,1007.9,False,33.1,190,1.8
67,0 days 01:07:04.892000,29.8,65.8,1007.8,False,32.8,195,2.0
68,0 days 01:08:04.907000,29.8,65.6,1007.8,False,32.8,182,2.0
70,0 days 01:10:04.933000,29.8,65.8,1007.8,False,33.0,178,2.1
72,0 days 01:12:04.963000,29.9,66.2,1007.8,False,32.9,182,2.4
74,0 days 01:14:04.991000,29.9,66.2,1007.9,False,32.8,191,2.0
76,0 days 01:16:05.017000,29.9,66.1,1007.8,False,32.8,178,1.9
77,0 days 01:17:05.081000,29.8,66.4,1007.9,False,32.8,174,1.9
79,0 days 01:19:05.082000,29.8,66.6,1007.8,False,32.8,170,2.2
81,0 days 01:21:05.343000,29.9,66.5,1007.8,False,32.9,199,1.8
83,0 days 01:23:05.120000,29.9,67.6,1007.9,False,33.0,180,2.0
85,0 days 01:25:05.148000,29.8,67.0,1007.9,False,32.8,174,1.7
86,0 days 01:26:05.160000,29.8,66.9,1008.0,False,32.8,181,2.6
88,0 days 01:28:05.187000,29.8,67.1,1007.9,False,32.7,172,2.1
90,0 days 01:30:05.215000,29.8,67.0,1007.9,False,32.9,186,2.1
92,0 days 01:32:05.243000,29.8,66.9,1008.0,False,32.6,180,2.2
94,0 days 01:34:05.269000,29.6,67.7,1008.0,False,32.2,180,3.0
95,0 days 01:35:05.288000,29.6,68.1,1008.0,False,32.3,176,2.3
97,0 days 01:37:05.311000,29.6,67.7,1008.0,False,32.3,184,2.5
99,0 days 01:39:05.336000,29.7,67.6,1007.9,False,32.2,180,2.1
101,0 days 01:41:05.362000,29.6,68.1,1008.1,False,32.2,172,2.3
103,0 days 01:43:05.391000,29.6,68.1,1008.0,False,32.4,181,1.9
104,0 days 01:44:05.402000,29.6,68.5,1008.1,False,32.2,179,2.2
106,0 days 01:46:05.430000,29.7,68.3,1008.1,False,32.6,206,2.5
108,0 days 01:48:05.455000,29.7,68.2,1008.1,False,32.7,166,2.2
110,0 days 01:50:05.480000,29.8,68.1,1008.1,False,32.7,175,1.7
111,0 days 01:51:05.493000,29.8,68.0,1008.2,False,32.7,171,2.0
113,0 days 01:53:05.529000,29.9,68.4,1008.1,False,32.8,180,2.2
115,0 days 01:55:05.546000,29.9,68.3,1008.1,False,32.5,196,2.4
117,0 days 01:57:05.573000,29.8,68.6,1008.1,False,32.4,185,2.1
119,0 days 01:59:05.598000,29.7,68.9,1008.1,False,32.6,163,2.0
120,0 days 02:00:05.615000,29.8,68.9,1008.1,False,32.6,189,2.2
122,0 days 02:02:05.638000,29.7,69.1,1008.1,False,32.5,185,1.7
124,0 days 02:04:05.663000,29.8,68.7,1008.1,False,32.7,192,1.9
126,0 days 02:06:05.692000,29.9,69.0,1008.2,False,32.6,187,1.5
127,0 days 02:07:05.703000,29.8,69.5,1008.3,False,32.5,182,1.8
129,0 days 02:09:05.731000,29.8,69.2,1008.3,False,32.4,195,1.9
19,0 days 00:19:04.232000,30.0,65.2,1007.4,False,34.0,177,1.1
19,0 days 00:19:04.232000,30.0,65.2,1007.4,False,34.0,177,1.1
22,0 days 00:22:04.268000,29.9,64.5,1007.5,False,33.7,170,1.7
24,0 days 00:24:04.434000,29.9,64.5,1007.4,False,33.8,170,1.7
27,0 days 00:27:04.332000,29.7,64.0,1007.6,False,33.2,189,2.0
30,0 days 00:30:04.374000,29.8,63.7,1007.7,False,33.8,165,2.4
32,0 days 00:32:04.403000,29.9,64.0,1007.8,False,33.9,176,1.2
33,0 days 00:33:04.416000,30.0,63.8,1007.8,False,34.1,152,2.3
35,0 days 00:35:04.444000,30.1,63.2,1007.7,False,34.0,164,1.8
37,0 days 00:37:04.472000,30.3,63.1,1007.8,False,33.7,173,1.8
39,0 days 00:39:04.501000,30.2,63.2,1007.9,False,33.5,172,1.6
41,0 days 00:41:04.531000,30.2,63.3,1007.8,False,33.8,167,2.0
42,0 days 00:42:04.540000,30.1,63.1,1007.9,False,33.5,171,3.3
44,0 days 00:44:04.570000,30.1,63.2,1007.9,False,33.5,170,3.5
46,0 days 00:46:04.597000,30.2,63.3,1007.9,False,33.6,176,2.0
48,0 days 00:48:04.625000,30.1,64.2,1008.0,False,33.5,198,1.9
50,0 days 00:50:04.652000,30.1,64.3,1007.9,False,33.6,178,1.8
52,0 days 00:52:04.682000,30.1,64.4,1007.9,False,33.4,184,1.8
54,0 days 00:54:04.708000,30.0,65.1,1007.8,False,33.4,178,2.2
56,0 days 00:56:04.738000,30.1,64.8,1007.8,False,33.0,191,2.2
58,0 days 00:58:04.766000,30.0,65.3,1007.8,False,33.0,168,2.1
59,0 days 00:59:04.777000,30.0,64.8,1007.8,False,33.1,179,2.6
61,0 days 01:01:04.806000,29.8,65.3,1007.8,False,32.8,176,2.7
63,0 days 01:03:04.835000,29.8,65.4,1007.8,False,33.1,182,2.1
65,0 days 01:05:04.863000,29.8,65.5,1007.9,False,33.1,190,1.8
67,0 days 01:07:04.892000,29.8,65.8,1007.8,False,32.8,195,2.0
68,0 days 01:08:04.907000,29.8,65.6,1007.8,False,32.8,182,2.0
70,0 days 01:10:04.933000,29.8,65.8,1007.8,False,33.0,178,2.1
72,0 days 01:12:04.963000,29.9,66.2,1007.8,False,32.9,182,2.4
74,0 days 01:14:04.991000,29.9,66.2,1007.9,False,32.8,191,2.0
76,0 days 01:16:05.017000,29.9,66.1,1007.8,False,32.8,178,1.9
77,0 days 01:17:05.081000,29.8,66.4,1007.9,False,32.8,174,1.9
79,0 days 01:19:05.082000,29.8,66.6,1007.8,False,32.8,170,2.2
81,0 days 01:21:05.343000,29.9,66.5,1007.8,False,32.9,199,1.8
83,0 days 01:23:05.120000,29.9,67.6,1007.9,False,33.0,180,2.0
85,0 days 01:25:05.148000,29.8,67.0,1007.9,False,32.8,174,1.7
87,0 days 01:27:05.173000,29.8,67.3,1007.8,False,32.8,175,1.9
88,0 days 01:28:05.187000,29.8,67.1,1007.9,False,32.7,172,2.1
90,0 days 01:30:05.215000,29.8,67.0,1007.9,False,32.9,186,2.1
92,0 days 01:32:05.243000,29.8,66.9,1008.0,False,32.6,180,2.2
94,0 days 01:34:05.269000,29.6,67.7,1008.0,False,32.2,180,3.0
96,0 days 01:36:05.297000,29.6,67.9,1007.9,False,32.4,179,2.0
98,0 days 01:38:05.323000,29.6,68.0,1008.0,False,32.2,179,2.0
99,0 days 01:39:05.336000,29.7,67.6,1007.9,False,32.2,180,2.1
101,0 days 01:41:05.362000,29.6,68.1,1008.1,False,32.2,172,2.3
103,0 days 01:43:05.391000,29.6,68.1,1008.0,False,32.4,181,1.9
105,0 days 01:45:05.415000,29.6,68.4,1008.0,False,32.3,167,2.1
106,0 days 01:46:05.430000,29.7,68.3,1008.1,False,32.6,206,2.5
108,0 days 01:48:05.455000,29.7,68.2,1008.1,False,32.7,166,2.2
110,0 days 01:50:05.480000,29.8,68.1,1008.1,False,32.7,175,1.7
112,0 days 01:52:05.507000,29.8,68.1,1008.0,False,32.7,184,1.9
114,0 days 01:54:05.535000,29.9,68.2,1008.0,False,32.7,176,2.1
115,0 days 01:55:05.546000,29.9,68.3,1008.1,False,32.5,196,2.4
117,0 days 01:57:05.573000,29.8,68.6,1008.1,False,32.4,185,2.1
119,0 days 01:59:05.598000,29.7,68.9,1008.1,False,32.6,163,2.0
121,0 days 02:01:05.624000,29.7,68.8,1008.1,False,32.5,175,1.7
122,0 days 02:02:05.638000,29.7,69.1,1008.1,False,32.5,185,1.7
124,0 days 02:04:05.663000,29.8,68.7,1008.1,False,32.7,192,1.9
126,0 days 02:06:05.692000,29.9,69.0,1008.2,False,32.6,187,1.5
128,0 days 02:08:05.717000,29.9,69.6,1008.2,False,32.4,169,1.8
130,0 days 02:10:05.744000,29.8,69.3,1008.3,False,32.4,178,2.4
19,0 days 00:19:04.232000,30.0,65.2,1007.4,False,34.0,177,1.1
22,0 days 00:22:04.268000,29.9,64.5,1007.5,False,33.7,170,1.7
24,0 days 00:24:04.434000,29.9,64.5,1007.4,False,33.8,170,1.7
27,0 days 00:27:04.332000,29.7,64.0,1007.6,False,33.2,189,2.0
30,0 days 00:30:04.374000,29.8,63.7,1007.7,False,33.8,165,2.4
31,0 days 00:31:04.390000,29.9,63.8,1007.8,False,33.9,193,1.1
33,0 days 00:33:04.416000,30.0,63.8,1007.8,False,34.1,152,2.3
35,0 days 00:35:04.444000,30.1,63.2,1007.7,False,34.0,164,1.8
37,0 days 00:37:04.472000,30.3,63.1,1007.8,False,33.7,173,1.8
39,0 days 00:39:04.501000,30.2,63.2,1007.9,False,33.5,172,1.6
41,0 days 00:41:04.531000,30.2,63.3,1007.8,False,33.8,167,2.0
42,0 days 00:42:04.540000,30.1,63.1,1007.9,False,33.5,171,3.3
44,0 days 00:44:04.570000,30.1,63.2,1007.9,False,33.5,170,3.5
46,0 days 00:46:04.597000,30.2,63.3,1007.9,False,33.6,176,2.0
48,0 days 00:48:04.625000,30.1,64.2,1008.0,False,33.5,198,1.9
50,0 days 00:50:04.652000,30.1,64.3,1007.9,False,33.6,178,1.8
51,0 days 00:51:04.670000,30.1,63.9,1007.9,False,33.6,191,2.4
53,0 days 00:53:04.847000,30.1,64.5,1007.9,False,33.4,190,2.1
56,0 days 00:56:04.738000,30.1,64.8,1007.8,False,33.0,191,2.2
57,0 days 00:57:04.750000,30.0,65.7,1007.7,False,33.0,180,2.4
59,0 days 00:59:04.777000,30.0,64.8,1007.8,False,33.1,179,2.6
61,0 days 01:01:04.806000,29.8,65.3,1007.8,False,32.8,176,2.7
63,0 days 01:03:04.835000,29.8,65.4,1007.8,False,33.1,182,2.1
65,0 days 01:05:04.863000,29.8,65.5,1007.9,False,33.1,190,1.8
66,0 days 01:06:04.876000,29.8,65.5,1007.9,False,32.8,176,1.8
68,0 days 01:08:04.907000,29.8,65.6,1007.8,False,32.8,182,2.0
70,0 days 01:10:04.933000,29.8,65.8,1007.8,False,33.0,178,2.1
72,0 days 01:12:04.963000,29.9,66.2,1007.8,False,32.9,182,2.4
74,0 days 01:14:04.991000,29.9,66.2,1007.9,False,32.8,191,2.0
76,0 days 01:16:05.017000,29.9,66.1,1007.8,False,32.8,178,1.9
77,0 days 01:17:05.081000,29.8,66.4,1007.9,False,32.8,174,1.9
