,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
122,0 days 02:02:06.141000,21.6,45.7,783.4,False,34.5,326,0.4
123,0 days 02:03:06.153000,21.5,45.7,783.4,False,34.3,290,1.0
125,0 days 02:05:06.182000,21.5,46.1,783.4,False,34.8,122,1.0
126,0 days 02:06:06.196000,21.6,45.5,783.4,False,35.1,114,1.1
127,0 days 02:07:06.210000,21.6,45.0,783.3,False,35.2,126,1.9
129,0 days 02:09:06.241000,21.5,45.4,783.3,False,34.9,124,0.9
130,0 days 02:10:06.255000,21.6,44.8,783.3,False,34.9,214,0.9
132,0 days 02:12:06.295000,21.7,45.4,783.4,False,34.6,97,0.6
33,0 days 00:33:04.854000,19.6,52.9,784.7,False,32.7,290,1.6
35,0 days 00:35:04.886000,19.2,54.2,784.7,False,32.8,271,1.8
36,0 days 00:36:04.896000,19.4,53.2,784.7,False,33.1,83,0.6
38,0 days 00:38:04.926000,19.5,53.0,784.7,False,32.5,253,0.7
39,0 days 00:39:04.939000,19.5,52.8,784.6,False,33.4,273,1.9
41,0 days 00:41:04.970000,19.5,52.8,784.6,False,33.4,273,1.9
42,0 days 00:42:04.983000,19.5,52.8,784.6,False,33.4,273,1.9
44,0 days 00:44:05.015000,19.5,52.8,784.6,False,33.4,273,1.9
45,0 days 00:45:05.036000,19.5,52.8,784.6,False,33.4,273,1.9
47,0 days 00:47:05.294000,19.5,52.8,784.6,False,33.4,273,1.9
48,0 days 00:48:05.071000,19.5,52.8,784.6,False,33.4,273,1.9
49,0 days 00:49:05.132000,19.5,52.8,784.6,False,33.4,273,1.9
51,0 days 00:51:05.118000,19.5,52.8,784.6,False,33.4,273,1.9
52,0 days 00:52:05.130000,19.5,52.8,784.6,False,33.4,273,1.9
54,0 days 00:54:05.161000,19.5,52.8,784.6,False,33.4,273,1.9
55,0 days 00:55:05.175000,19.5,52.8,784.6,False,33.4,273,1.9
57,0 days 00:57:05.205000,19.5,52.8,784.6,False,33.4,273,1.9
58,0 days 00:58:05.221000,19.5,52.8,784.6,False,33.4,273,1.9
59,0 days 00:59:05.233000,19.5,52.8,784.6,False,33.4,273,1.9
61,0 days 01:01:05.261000,19.5,52.8,784.6,False,33.4,273,1.9
62,0 days 01:02:05.277000,19.5,52.8,784.6,False,33.4,273,1.9
64,0 days 01:04:05.306000,19.5,52.8,784.6,False,33.4,273,1.9
65,0 days 01:05:05.326000,19.5,52.8,784.6,False,33.4,273,1.9
66,0 days 01:06:05.336000,19.5,52.8,784.6,False,33.4,273,1.9
68,0 days 01:08:05.363000,19.5,52.8,784.6,False,33.4,273,1.9
69,0 days 01:09:05.378000,19.5,52.8,784.6,False,33.4,273,1.9
71,0 days 01:11:05.408000,19.5,52.8,784.6,False,33.4,273,1.9
72,0 days 01:12:05.422000,20.4,50.0,784.0,False,35.4,9,1.8
74,0 days 01:14:05.448000,20.6,49.4,783.9,False,35.2,220,0.8
75,0 days 01:15:05.465000,20.5,49.8,783.9,False,35.0,259,2.4
77,0 days 01:17:05.493000,20.8,49.1,783.9,False,35.2,358,0.9
79,0 days 01:19:05.526000,20.9,48.5,783.8,False,35.3,193,0.9
80,0 days 01:20:05.536000,20.7,48.5,783.9,False,35.4,137,2.0
82,0 days 01:22:05.566000,20.7,49.0,783.9,False,35.4,277,1.1
83,0 days 01:23:05.578000,20.8,48.3,783.9,False,36.8,225,2.2
84,0 days 01:24:05.594000,20.8,48.3,783.9,False,36.9,228,1.0
86,0 days 01:26:05.627000,20.9,47.8,783.9,False,37.9,232,0.7
87,0 days 01:27:05.638000,21.0,47.9,783.7,False,38.5,215,0.8
89,0 days 01:29:05.670000,21.3,47.5,783.8,False,38.3,209,1.3
90,0 days 01:30:05.681000,21.3,47.7,783.7,False,38.6,338,1.1
91,0 days 01:31:05.695000,21.5,47.1,783.7,False,38.6,267,1.5
93,0 days 01:33:05.724000,21.4,46.9,783.7,False,37.6,268,1.3
94,0 days 01:34:05.738000,21.4,46.9,783.7,False,37.6,268,1.3
96,0 days 01:36:05.766000,21.4,46.3,783.7,False,37.6,276,2.6
97,0 days 01:37:05.781000,21.4,46.3,783.7,False,37.6,276,2.6
99,0 days 01:39:05.812000,21.2,47.4,783.6,False,37.2,243,0.9
100,0 days 01:40:05.823000,21.0,47.5,783.7,False,36.7,246,2.6
102,0 days 01:42:05.853000,20.7,48.3,783.7,False,36.3,224,2.1
103,0 days 01:43:05.866000,20.6,48.5,783.6,False,36.5,325,1.7
104,0 days 01:44:05.962000,20.6,48.5,783.6,False,36.5,325,1.7
106,0 days 01:46:05.909000,20.6,48.4,783.5,False,36.5,294,1.8
107,0 days 01:47:05.922000,21.0,47.9,783.5,False,36.7,269,1.2
109,0 days 01:49:05.953000,21.3,46.4,783.5,False,36.9,220,2.6
110,0 days 01:50:05.966000,21.3,46.9,783.5,False,37.5,175,1.0
111,0 days 01:51:05.979000,21.4,46.4,783.5,False,37.6,276,0.9
113,0 days 01:53:06.009000,21.2,46.5,783.5,False,37.1,257,2.6
114,0 days 01:54:06.025000,21.1,47.5,783.4,False,36.2,137,0.8
116,0 days 01:56:06.054000,21.3,46.8,783.5,False,36.0,221,1.1
117,0 days 01:57:06.067000,21.3,46.8,783.4,False,35.5,244,1.0
118,0 days 01:58:06.082000,21.2,46.7,783.4,False,35.2,256,0.8
120,0 days 02:00:06.109000,21.3,46.4,783.4,False,34.9,164,2.3
122,0 days 02:02:06.141000,21.6,45.7,783.4,False,34.5,326,0.4
123,0 days 02:03:06.153000,21.5,45.7,783.4,False,34.3,290,1.0
125,0 days 02:05:06.182000,21.5,46.1,783.4,False,34.8,122,1.0
126,0 days 02:06:06.196000,21.6,45.5,783.4,False,35.1,114,1.1
128,0 days 02:08:06.226000,21.5,45.4,783.3,False,35.2,139,1.8
129,0 days 02:09:06.241000,21.5,45.4,783.3,False,34.9,124,0.9
130,0 days 02:10:06.255000,21.6,44.8,783.3,False,34.9,214,0.9
132,0 days 02:12:06.295000,21.7,45.4,783.4,False,34.6,97,0.6
33,0 days 00:33:04.854000,19.6,52.9,784.7,False,32.7,290,1.6
35,0 days 00:35:04.886000,19.2,54.2,784.7,False,32.8,271,1.8
36,0 days 00:36:04.896000,19.4,53.2,784.7,False,33.1,83,0.6
38,0 days 00:38:04.926000,19.5,53.0,784.7,False,32.5,253,0.7
39,0 days 00:39:04.939000,19.5,52.8,784.6,False,33.4,273,1.9
41,0 days 00:41:04.970000,19.5,52.8,784.6,False,33.4,273,1.9
