,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
60,0 days 01:00:40.274000,22.6,36.5,1005.9,False,30.9,148,1.4
62,0 days 01:02:40.302000,22.2,37.5,1005.9,False,31.1,106,2.7
63,0 days 01:03:40.315000,22.4,37.4,1005.8,False,31.1,264,1.0
65,0 days 01:05:40.338000,22.4,37.4,1005.8,False,31.1,264,1.0
67,0 days 01:07:40.368000,22.4,37.4,1005.8,False,31.1,264,1.0
69,0 days 01:09:40.395000,22.4,37.4,1005.8,False,31.1,264,1.0
70,0 days 01:10:40.409000,22.7,36.8,1005.8,False,31.1,210,1.1
72,0 days 01:12:40.437000,22.5,34.9,1005.8,False,31.1,254,1.9
74,0 days 01:14:40.468000,22.8,34.9,1005.7,False,31.1,277,1.2
75,0 days 01:15:40.479000,22.9,34.7,1005.8,False,31.5,209,1.3
77,0 days 01:17:40.503000,22.7,34.2,1005.8,False,31.6,117,1.4
79,0 days 01:19:40.534000,22.0,35.4,1005.7,False,31.7,88,3.2
81,0 days 01:21:40.558000,21.6,36.6,1005.7,False,31.7,82,3.3
82,0 days 01:22:40.573000,21.5,37.2,1005.7,False,31.7,110,3.0
84,0 days 01:24:40.599000,22.0,37.0,1005.8,False,31.3,78,1.2
86,0 days 01:26:40.692000,22.7,35.7,1005.6,False,32.0,267,1.0
88,0 days 01:28:40.654000,22.9,35.3,1005.6,False,32.1,265,1.7
89,0 days 01:29:40.668000,23.0,34.7,1005.6,False,32.0,185,0.8
91,0 days 01:31:40.719000,23.1,34.5,1005.6,False,32.2,139,1.0
93,0 days 01:33:40.723000,23.0,34.4,1005.4,False,32.0,120,1.3
94,0 days 01:34:40.738000,22.9,35.1,1005.5,False,31.9,219,1.3
96,0 days 01:36:40.764000,23.0,35.2,1005.4,False,31.9,45,1.4
98,0 days 01:38:40.793000,22.8,35.1,1005.3,False,31.7,87,1.0
99,0 days 01:39:40.804000,22.4,36.2,1005.4,False,31.8,84,2.4
101,0 days 01:41:40.849000,22.3,36.9,1005.2,False,32.0,266,1.8
103,0 days 01:43:40.859000,22.4,36.1,1005.1,False,31.9,121,1.7
104,0 days 01:44:40.872000,22.7,36.1,1005.2,False,31.6,107,1.2
106,0 days 01:46:40.902000,22.7,35.6,1005.2,False,31.5,102,0.7
108,0 days 01:48:40.929000,22.2,36.2,1005.1,False,31.0,89,2.6
109,0 days 01:49:40.942000,22.1,37.2,1005.1,False,31.0,99,2.3
111,0 days 01:51:40.969000,22.0,37.4,1005.1,False,31.1,146,2.5
113,0 days 01:53:40.995000,22.2,36.9,1005.2,False,31.4,117,2.2
114,0 days 01:54:41.057000,22.6,36.1,1005.2,False,31.8,91,1.4
116,0 days 01:56:41.037000,22.6,35.7,1005.1,False,31.9,117,2.2
118,0 days 01:58:41.064000,22.7,35.5,1005.0,False,32.2,140,2.0
119,0 days 01:59:41.079000,22.7,35.5,1005.0,False,32.2,140,2.0
121,0 days 02:01:41.104000,23.3,33.4,1005.0,False,32.3,206,1.5
123,0 days 02:03:41.134000,23.4,33.7,1005.1,False,32.3,255,0.9
124,0 days 02:04:41.150000,23.4,34.0,1004.9,False,32.3,149,1.4
126,0 days 02:06:41.173000,23.2,34.9,1004.9,False,32.2,118,1.8
128,0 days 02:08:41.199000,23.1,35.0,1004.8,False,32.0,87,1.6
33,0 days 00:33:39.905000,21.3,39.1,1006.6,False,29.3,83,2.2
35,0 days 00:35:39.933000,21.1,38.6,1006.5,False,29.5,89,1.9
37,0 days 00:37:39.960000,21.0,40.2,1006.4,False,29.7,121,3.3
39,0 days 00:39:39.987000,21.3,39.8,1006.4,False,29.8,99,2.8
40,0 days 00:40:40,21.5,39.5,1006.3,False,30.2,82,2.8
42,0 days 00:42:40.036000,21.8,39.5,1006.3,False,30.3,87,3.0
44,0 days 00:44:40.080000,21.8,38.7,1006.3,False,30.5,89,2.7
46,0 days 00:46:40.082000,21.7,38.3,1006.2,False,30.3,99,2.2
47,0 days 00:47:40.098000,21.7,37.9,1006.1,False,30.2,97,2.1
49,0 days 00:49:40.122000,21.6,38.1,1006.2,False,30.4,107,2.2
51,0 days 00:51:40.149000,21.9,37.7,1006.1,False,30.6,64,0.7
53,0 days 00:53:40.175000,21.9,37.4,1006.1,False,30.5,0,1.4
55,0 days 00:55:40.208000,22.3,36.8,1005.9,False,30.8,279,1.0
57,0 days 00:57:40.285000,22.5,36.4,1005.9,False,30.8,192,2.2
58,0 days 00:58:40.340000,22.5,36.5,1005.9,False,31.0,348,1.3
60,0 days 01:00:40.274000,22.6,36.5,1005.9,False,30.9,148,1.4
62,0 days 01:02:40.302000,22.2,37.5,1005.9,False,31.1,106,2.7
63,0 days 01:03:40.315000,22.4,37.4,1005.8,False,31.1,264,1.0
65,0 days 01:05:40.338000,22.4,37.4,1005.8,False,31.1,264,1.0
67,0 days 01:07:40.368000,22.4,37.4,1005.8,False,31.1,264,1.0
68,0 days 01:08:40.381000,22.4,37.4,1005.8,False,31.1,264,1.0
70,0 days 01:10:40.409000,22.7,36.8,1005.8,False,31.1,210,1.1
72,0 days 01:12:40.437000,22.5,34.9,1005.8,False,31.1,254,1.9
74,0 days 01:14:40.468000,22.8,34.9,1005.7,False,31.1,277,1.2
75,0 days 01:15:40.479000,22.9,34.7,1005.8,False,31.5,209,1.3
77,0 days 01:17:40.503000,22.7,34.2,1005.8,False,31.6,117,1.4
79,0 days 01:19:40.534000,22.0,35.4,1005.7,False,31.7,88,3.2
81,0 days 01:21:40.558000,21.6,36.6,1005.7,False,31.7,82,3.3
82,0 days 01:22:40.573000,21.5,37.2,1005.7,False,31.7,110,3.0
84,0 days 01:24:40.599000,22.0,37.0,1005.8,False,31.3,78,1.2
86,0 days 01:26:40.692000,22.7,35.7,1005.6,False,32.0,267,1.0
87,0 days 01:27:40.639000,22.9,35.3,1005.6,False,32.1,265,1.7
89,0 days 01:29:40.668000,23.0,34.7,1005.6,False,32.0,185,0.8
91,0 days 01:31:40.719000,23.1,34.5,1005.6,False,32.2,139,1.0
93,0 days 01:33:40.723000,23.0,34.4,1005.4,False,32.0,120,1.3
94,0 days 01:34:40.738000,22.9,35.1,1005.5,False,31.9,219,1.3
96,0 days 01:36:40.764000,23.0,35.2,1005.4,False,31.9,45,1.4
98,0 days 01:38:40.793000,22.8,35.1,1005.3,False,31.7,87,1.0
99,0 days 01:39:40.804000,22.4,36.2,1005.4,False,31.8,84,2.4
101,0 days 01:41:40.849000,22.3,36.9,1005.2,False,32.0,266,1.8
103,0 days 01:43:40.859000,22.4,36.1,1005.1,False,31.9,121,1.7
104,0 days 01:44:40.872000,22.7,36.1,1005.2,False,31.6,107,1.2
106,0 days 01:46:40.902000,22.7,35.6,1005.2,False,31.5,102,0.7
108,0 days 01:48:40.929000,22.2,36.2,1005.1,False,31.0,89,2.6
109,0 days 01:49:40.942000,22.1,37.2,1005.1,False,31.0,99,2.3
111,0 days 01:51:40.969000,22.0,37.4,1005.1,False,31.1,146,2.5
113,0 days 01:53:40.995000,22.2,36.9,1005.2,False,31.4,117,2.2
114,0 days 01:54:41.057000,22.6,36.1,1005.2,False,31.8,91,1.4
116,0 days 01:56:41.037000,22.6,35.7,1005.1,False,31.9,117,2.2
118,0 days 01:58:41.064000,22.7,35.5,1005.0,False,32.2,140,2.0
119,0 days 01:59:41.079000,22.7,35.5,1005.0,False,32.2,140,2.0
121,0 days 02:01:41.104000,23.3,33.4,1005.0,False,32.3,206,1.5
123,0 days 02:03:41.134000,23.4,33.7,1005.1,False,32.3,255,0.9
124,0 days 02:04:41.150000,23.4,34.0,1004.9,False,32.3,149,1.4
126,0 days 02:06:41.173000,23.2,34.9,1004.9,False,32.2,118,1.8
128,0 days 02:08:41.199000,23.1,35.0,1004.8,False,32.0,87,1.6
33,0 days 00:33:39.905000,21.3,39.1,1006.6,False,29.3,83,2.2
35,0 days 00:35:39.933000,21.1,38.6,1006.5,False,29.5,89,1.9
37,0 days 00:37:39.960000,21.0,40.2,1006.4,False,29.7,121,3.3
39,0 days 00:39:39.987000,21.3,39.8,1006.4,False,29.8,99,2.8
40,0 days 00:40:40,21.5,39.5,1006.3,False,30.2,82,2.8
42,0 days 00:42:40.036000,21.8,39.5,1006.3,False,30.3,87,3.0
44,0 days 00:44:40.080000,21.8,38.7,1006.3,False,30.5,89,2.7
46,0 days 00:46:40.082000,21.7,38.3,1006.2,False,30.3,99,2.2
47,0 days 00:47:40.098000,21.7,37.9,1006.1,False,30.2,97,2.1
49,0 days 00:49:40.122000,21.6,38.1,1006.2,False,30.4,107,2.2
51,0 days 00:51:40.149000,21.9,37.7,1006.1,False,30.6,64,0.7
53,0 days 00:53:40.175000,21.9,37.4,1006.1,False,30.5,0,1.4
55,0 days 00:55:40.208000,22.3,36.8,1005.9,False,30.8,279,1.0
57,0 days 00:57:40.285000,22.5,36.4,1005.9,False,30.8,192,2.2
58,0 days 00:58:40.340000,22.5,36.5,1005.9,False,31.0,348,1.3
60,0 days 01:00:40.274000,22.6,36.5,1005.9,False,30.9,148,1.4
62,0 days 01:02:40.302000,22.2,37.5,1005.9,False,31.1,106,2.7
63,0 days 01:03:40.315000,22.4,37.4,1005.8,False,31.1,264,1.0
65,0 days 01:05:40.338000,22.4,37.4,1005.8,False,31.1,264,1.0
67,0 days 01:07:40.368000,22.4,37.4,1005.8,False,31.1,264,1.0
69,0 days 01:09:40.395000,22.4,37.4,1005.8,False,31.1,264,1.0
70,0 days 01:10:40.409000,22.7,36.8,1005.8,False,31.1,210,1.1
72,0 days 01:12:40.437000,22.5,34.9,1005.8,False,31.1,254,1.9
74,0 days 01:14:40.468000,22.8,34.9,1005.7,False,31.1,277,1.2
75,0 days 01:15:40.479000,22.9,34.7,1005.8,False,31.5,209,1.3
77,0 days 01:17:40.503000,22.7,34.2,1005.8,False,31.6,117,1.4
79,0 days 01:19:40.534000,22.0,35.4,1005.7,False,31.7,88,3.2
81,0 days 01:21:40.558000,21.6,36.6,1005.7,False,31.7,82,3.3
83,0 days 01:23:40.585000,21.6,37.1,1005.7,False,31.4,98,2.5
84,0 days 01:24:40.599000,22.0,37.0,1005.8,False,31.3,78,1.2
86,0 days 01:26:40.692000,22.7,35.7,1005.6,False,32.0,267,1.0
88,0 days 01:28:40.654000,22.9,35.3,1005.6,False,32.1,265,1.7
89,0 days 01:29:40.668000,23.0,34.7,1005.6,False,32.0,185,0.8
91,0 days 01:31:40.719000,23.1,34.5,1005.6,False,32.2,139,1.0
93,0 days 01:33:40.723000,23.0,34.4,1005.4,False,32.0,120,1.3
94,0 days 01:34:40.738000,22.9,35.1,1005.5,False,31.9,219,1.3
96,0 days 01:36:40.764000,23.0,35.2,1005.4,False,31.9,45,1.4
98,0 days 01:38:40.793000,22.8,35.1,1005.3,False,31.7,87,1.0
99,0 days 01:39:40.804000,22.4,36.2,1005.4,False,31.8,84,2.4
101,0 days 01:41:40.849000,22.3,36.9,1005.2,False,32.0,266,1.8
103,0 days 01:43:40.859000,22.4,36.1,1005.1,False,31.9,121,1.7
104,0 days 01:44:40.872000,22.7,36.1,1005.2,False,31.6,107,1.2
106,0 days 01:46:40.902000,22.7,35.6,1005.2,False,31.5,102,0.7
108,0 days 01:48:40.929000,22.2,36.2,1005.1,False,31.0,89,2.6
109,0 days 01:49:40.942000,22.1,37.2,1005.1,False,31.0,99,2.3
111,0 days 01:51:40.969000,22.0,37.4,1005.1,False,31.1,146,2.5
113,0 days 01:53:40.995000,22.2,36.9,1005.2,False,31.4,117,2.2
114,0 days 01:54:41.057000,22.6,36.1,1005.2,False,31.8,91,1.4
116,0 days 01:56:41.037000,22.6,35.7,1005.1,False,31.9,117,2.2
118,0 days 01:58:41.064000,22.7,35.5,1005.0,False,32.2,140,2.0
119,0 days 01:59:41.079000,22.7,35.5,1005.0,False,32.2,140,2.0
121,0 days 02:01:41.104000,23.3,33.4,1005.0,False,32.3,206,1.5
123,0 days 02:03:41.134000,23.4,33.7,1005.1,False,32.3,255,0.9
124,0 days 02:04:41.150000,23.4,34.0,1004.9,False,32.3,149,1.4
126,0 days 02:06:41.173000,23.2,34.9,1004.9,False,32.2,118,1.8
128,0 days 02:08:41.199000,23.1,35.0,1004.8,False,32.0,87,1.6
33,0 days 00:33:39.905000,21.3,39.1,1006.6,False,29.3,83,2.2
35,0 days 00:35:39.933000,21.1,38.6,1006.5,False,29.5,89,1.9
38,0 days 00:38:39.972000,21.2,39.5,1006.4,False,29.7,86,2.4
39,0 days 00:39:39.987000,21.3,39.8,1006.4,False,29.8,99,2.8
41,0 days 00:41:40.016000,21.5,39.5,1006.3,False,30.2,82,2.8
43,0 days 00:43:40.060000,21.8,38.7,1006.3,False,30.5,89,2.7
44,0 days 00:44:40.080000,21.8,38.7,1006.3,False,30.5,89,2.7
46,0 days 00:46:40.082000,21.7,38.3,1006.2,False,30.3,99,2.2
48,0 days 00:48:40.110000,21.7,37.7,1006.3,False,30.5,100,2.8
50,0 days 00:50:40.135000,21.8,37.6,1006.1,False,30.6,110,1.0
52,0 days 00:52:40.163000,22.1,37.2,1006.0,False,30.6,233,1.1
54,0 days 00:54:40.191000,22.1,37.3,1006.0,False,30.5,163,0.4
56,0 days 00:56:40.217000,22.5,36.4,1005.9,False,30.8,192,2.2
57,0 days 00:57:40.285000,22.5,36.4,1005.9,False,30.8,192,2.2
59,0 days 00:59:40.258000,22.6,36.5,1005.9,False,30.9,148,1.4
61,0 days 01:01:40.287000,22.4,36.9,1005.9,False,31.1,99,2.6
62,0 days 01:02:40.302000,22.2,37.5,1005.9,False,31.1,106,2.7
64,0 days 01:04:40.328000,22.4,37.4,1005.8,False,31.1,264,1.0
66,0 days 01:06:40.358000,22.4,37.4,1005.8,False,31.1,264,1.0
68,0 days 01:08:40.381000,22.4,37.4,1005.8,False,31.1,264,1.0
69,0 days 01:09:40.395000,22.4,37.4,1005.8,False,31.1,264,1.0
71,0 days 01:11:40.421000,23.0,34.0,1005.8,False,31.1,246,1.5
73,0 days 01:13:40.454000,22.5,35.3,1005.8,False,31.1,283,1.5
74,0 days 01:14:40.468000,22.8,34.9,1005.7,False,31.1,277,1.2
76,0 days 01:16:40.492000,22.7,34.2,1005.8,False,31.6,117,1.4
78,0 days 01:18:40.518000,22.4,35.2,1005.7,False,31.3,97,2.4
80,0 days 01:20:40.547000,21.6,36.6,1005.7,False,31.7,82,3.3
81,0 days 01:21:40.558000,21.6,36.6,1005.7,False,31.7,82,3.3
83,0 days 01:23:40.585000,21.6,37.1,1005.7,False,31.4,98,2.5
85,0 days 01:25:40.612000,22.0,37.0,1005.8,False,31.3,78,1.2
87,0 days 01:27:40.639000,22.9,35.3,1005.6,False,32.1,265,1.7
33,0 days 00:33:39.905000,21.3,39.1,1006.6,False,29.3,83,2.2
36,0 days 00:36:39.945000,21.1,39.7,1006.5,False,29.7,87,2.8
33,0 days 00:33:39.905000,21.3,39.1,1006.6,False,29.3,83,2.2
35,0 days 00:35:39.933000,21.1,38.6,1006.5,False,29.5,89,1.9
37,0 days 00:37:39.960000,21.0,40.2,1006.4,False,29.7,121,3.3
39,0 days 00:39:39.987000,21.3,39.8,1006.4,False,29.8,99,2.8
40,0 days 00:40:40,21.5,39.5,1006.3,False,30.2,82,2.8
42,0 days 00:42:40.036000,21.8,39.5,1006.3,False,30.3,87,3.0
44,0 days 00:44:40.080000,21.8,38.7,1006.3,False,30.5,89,2.7
45,0 days 00:45:40.070000,21.7,38.3,1006.2,False,30.3,99,2.2
47,0 days 00:47:40.098000,21.7,37.9,1006.1,False,30.2,97,2.1
49,0 days 00:49:40.122000,21.6,38.1,1006.2,False,30.4,107,2.2
51,0 days 00:51:40.149000,21.9,37.7,1006.1,False,30.6,64,0.7
53,0 days 00:53:40.175000,21.9,37.4,1006.1,False,30.5,0,1.4
55,0 days 00:55:40.208000,22.3,36.8,1005.9,False,30.8,279,1.0
56,0 days 00:56:40.217000,22.5,36.4,1005.9,False,30.8,192,2.2
58,0 days 00:58:40.340000,22.5,36.5,1005.9,False,31.0,348,1.3
60,0 days 01:00:40.274000,22.6,36.5,1005.9,False,30.9,148,1.4
62,0 days 01:02:40.302000,22.2,37.5,1005.9,False,31.1,106,2.7
63,0 days 01:03:40.315000,22.4,37.4,1005.8,False,31.1,264,1.0
65,0 days 01:05:40.338000,22.4,37.4,1005.8,False,31.1,264,1.0
67,0 days 01:07:40.368000,22.4,37.4,1005.8,False,31.1,264,1.0
68,0 days 01:08:40.381000,22.4,37.4,1005.8,False,31.1,264,1.0
70,0 days 01:10:40.409000,22.7,36.8,1005.8,False,31.1,210,1.1
72,0 days 01:12:40.437000,22.5,34.9,1005.8,False,31.1,254,1.9
74,0 days 01:14:40.468000,22.8,34.9,1005.7,False,31.1,277,1.2
76,0 days 01:16:40.492000,22.7,34.2,1005.8,False,31.6,117,1.4
77,0 days 01:17:40.503000,22.7,34.2,1005.8,False,31.6,117,1.4
79,0 days 01:19:40.534000,22.0,35.4,1005.7,False,31.7,88,3.2
81,0 days 01:21:40.558000,21.6,36.6,1005.7,False,31.7,82,3.3
82,0 days 01:22:40.573000,21.5,37.2,1005.7,False,31.7,110,3.0
84,0 days 01:24:40.599000,22.0,37.0,1005.8,False,31.3,78,1.2
86,0 days 01:26:40.692000,22.7,35.7,1005.6,False,32.0,267,1.0
87,0 days 01:27:40.639000,22.9,35.3,1005.6,False,32.1,265,1.7
89,0 days 01:29:40.668000,23.0,34.7,1005.6,False,32.0,185,0.8
91,0 days 01:31:40.719000,23.1,34.5,1005.6,False,32.2,139,1.0
92,0 days 01:32:40.709000,23.1,34.5,1005.6,False,32.2,139,1.0
94,0 days 01:34:40.738000,22.9,35.1,1005.5,False,31.9,219,1.3
96,0 days 01:36:40.764000,23.0,35.2,1005.4,False,31.9,45,1.4
97,0 days 01:37:40.777000,22.9,34.8,1005.3,False,31.7,0,0.8
99,0 days 01:39:40.804000,22.4,36.2,1005.4,False,31.8,84,2.4
101,0 days 01:41:40.849000,22.3,36.9,1005.2,False,32.0,266,1.8
102,0 days 01:42:40.848000,22.5,35.7,1005.2,False,31.9,103,1.3
104,0 days 01:44:40.872000,22.7,36.1,1005.2,False,31.6,107,1.2
106,0 days 01:46:40.902000,22.7,35.6,1005.2,False,31.5,102,0.7
108,0 days 01:48:40.929000,22.2,36.2,1005.1,False,31.0,89,2.6
109,0 days 01:49:40.942000,22.1,37.2,1005.1,False,31.0,99,2.3
111,0 days 01:51:40.969000,22.0,37.4,1005.1,False,31.1,146,2.5
113,0 days 01:53:40.995000,22.2,36.9,1005.2,False,31.4,117,2.2
114,0 days 01:54:41.057000,22.6,36.1,1005.2,False,31.8,91,1.4
116,0 days 01:56:41.037000,22.6,35.7,1005.1,False,31.9,117,2.2
118,0 days 01:58:41.064000,22.7,35.5,1005.0,False,32.2,140,2.0
119,0 days 01:59:41.079000,22.7,35.5,1005.0,False,32.2,140,2.0
121,0 days 02:01:41.104000,23.3,33.4,1005.0,False,32.3,206,1.5
122,0 days 02:02:41.118000,23.3,33.4,1005.0,False,32.3,206,1.5
124,0 days 02:04:41.150000,23.4,34.0,1004.9,False,32.3,149,1.4
126,0 days 02:06:41.173000,23.2,34.9,1004.9,False,32.2,118,1.8
128,0 days 02:08:41.199000,23.1,35.0,1004.8,False,32.0,87,1.6
33,0 days 00:33:39.905000,21.3,39.1,1006.6,False,29.3,83,2.2
35,0 days 00:35:39.933000,21.1,38.6,1006.5,False,29.5,89,1.9
37,0 days 00:37:39.960000,21.0,40.2,1006.4,False,29.7,121,3.3
39,0 days 00:39:39.987000,21.3,39.8,1006.4,False,29.8,99,2.8
40,0 days 00:40:40,21.5,39.5,1006.3,False,30.2,82,2.8
42,0 days 00:42:40.036000,21.8,39.5,1006.3,False,30.3,87,3.0
44,0 days 00:44:40.080000,21.8,38.7,1006.3,False,30.5,89,2.7
46,0 days 00:46:40.082000,21.7,38.3,1006.2,False,30.3,99,2.2
47,0 days 00:47:40.098000,21.7,37.9,1006.1,False,30.2,97,2.1
49,0 days 00:49:40.122000,21.6,38.1,1006.2,False,30.4,107,2.2
51,0 days 00:51:40.149000,21.9,37.7,1006.1,False,30.6,64,0.7
53,0 days 00:53:40.175000,21.9,37.4,1006.1,False,30.5,0,1.4
55,0 days 00:55:40.208000,22.3,36.8,1005.9,False,30.8,279,1.0
57,0 days 00:57:40.285000,22.5,36.4,1005.9,False,30.8,192,2.2
58,0 days 00:58:40.340000,22.5,36.5,1005.9,False,31.0,348,1.3
60,0 days 01:00:40.274000,22.6,36.5,1005.9,False,30.9,148,1.4
62,0 days 01:02:40.302000,22.2,37.5,1005.9,False,31.1,106,2.7
63,0 days 01:03:40.315000,22.4,37.4,1005.8,False,31.1,264,1.0
65,0 days 01:05:40.338000,22.4,37.4,1005.8,False,31.1,264,1.0
67,0 days 01:07:40.368000,22.4,37.4,1005.8,False,31.1,264,1.0
69,0 days 01:09:40.395000,22.4,37.4,1005.8,False,31.1,264,1.0
70,0 days 01:10:40.409000,22.7,36.8,1005.8,False,31.1,210,1.1
72,0 days 01:12:40.437000,22.5,34.9,1005.8,False,31.1,254,1.9
74,0 days 01:14:40.468000,22.8,34.9,1005.7,False,31.1,277,1.2
76,0 days 01:16:40.492000,22.7,34.2,1005.8,False,31.6,117,1.4
77,0 days 01:17:40.503000,22.7,34.2,1005.8,False,31.6,117,1.4
79,0 days 01:19:40.534000,22.0,35.4,1005.7,False,31.7,88,3.2
81,0 days 01:21:40.558000,21.6,36.6,1005.7,False,31.7,82,3.3
82,0 days 01:22:40.573000,21.5,37.2,1005.7,False,31.7,110,3.0
84,0 days 01:24:40.599000,22.0,37.0,1005.8,False,31.3,78,1.2
86,0 days 01:26:40.692000,22.7,35.7,1005.6,False,32.0,267,1.0
88,0 days 01:28:40.654000,22.9,35.3,1005.6,False,32.1,265,1.7
89,0 days 01:29:40.668000,23.0,34.7,1005.6,False,32.0,185,0.8
91,0 days 01:31:40.719000,23.1,34.5,1005.6,False,32.2,139,1.0
93,0 days 01:33:40.723000,23.0,34.4,1005.4,False,32.0,120,1.3
94,0 days 01:34:40.738000,22.9,35.1,1005.5,False,31.9,219,1.3
96,0 days 01:36:40.764000,23.0,35.2,1005.4,False,31.9,45,1.4
98,0 days 01:38:40.793000,22.8,35.1,1005.3,False,31.7,87,1.0
99,0 days 01:39:40.804000,22.4,36.2,1005.4,False,31.8,84,2.4
101,0 days 01:41:40.849000,22.3,36.9,1005.2,False,32.0,266,1.8
103,0 days 01:43:40.859000,22.4,36.1,1005.1,False,31.9,121,1.7
104,0 days 01:44:40.872000,22.7,36.1,1005.2,False,31.6,107,1.2
106,0 days 01:46:40.902000,22.7,35.6,1005.2,False,31.5,102,0.7
108,0 days 01:48:40.929000,22.2,36.2,1005.1,False,31.0,89,2.6
109,0 days 01:49:40.942000,22.1,37.2,1005.1,False,31.0,99,2.3
111,0 days 01:51:40.969000,22.0,37.4,1005.1,False,31.1,146,2.5
113,0 days 01:53:40.995000,22.2,36.9,1005.2,False,31.4,117,2.2
114,0 days 01:54:41.057000,22.6,36.1,1005.2,False,31.8,91,1.4
116,0 days 01:56:41.037000,22.6,35.7,1005.1,False,31.9,117,2.2
118,0 days 01:58:41.064000,22.7,35.5,1005.0,False,32.2,140,2.0
119,0 days 01:59:41.079000,22.7,35.5,1005.0,False,32.2,140,2.0
121,0 days 02:01:41.104000,23.3,33.4,1005.0,False,32.3,206,1.5
123,0 days 02:03:41.134000,23.4,33.7,1005.1,False,32.3,255,0.9
124,0 days 02:04:41.150000,23.4,34.0,1004.9,False,32.3,149,1.4
126,0 days 02:06:41.173000,23.2,34.9,1004.9,False,32.2,118,1.8
128,0 days 02:08:41.199000,23.1,35.0,1004.8,False,32.0,87,1.6
33,0 days 00:33:39.905000,21.3,39.1,1006.6,False,29.3,83,2.2
35,0 days 00:35:39.933000,21.1,38.6,1006.5,False,29.5,89,1.9
37,0 days 00:37:39.960000,21.0,40.2,1006.4,False,29.7,121,3.3
39,0 days 00:39:39.987000,21.3,39.8,1006.4,False,29.8,99,2.8
40,0 days 00:40:40,21.5,39.5,1006.3,False,30.2,82,2.8
42,0 days 00:42:40.036000,21.8,39.5,1006.3,False,30.3,87,3.0
44,0 days 00:44:40.080000,21.8,38.7,1006.3,False,30.5,89,2.7
46,0 days 00:46:40.082000,21.7,38.3,1006.2,False,30.3,99,2.2
47,0 days 00:47:40.098000,21.7,37.9,1006.1,False,30.2,97,2.1
49,0 days 00:49:40.122000,21.6,38.1,1006.2,False,30.4,107,2.2
51,0 days 00:51:40.149000,21.9,37.7,1006.1,False,30.6,64,0.7
53,0 days 00:53:40.175000,21.9,37.4,1006.1,False,30.5,0,1.4
55,0 days 00:55:40.208000,22.3,36.8,1005.9,False,30.8,279,1.0
56,0 days 00:56:40.217000,22.5,36.4,1005.9,False,30.8,192,2.2
58,0 days 00:58:40.340000,22.5,36.5,1005.9,False,31.0,348,1.3
60,0 days 01:00:40.274000,22.6,36.5,1005.9,False,30.9,148,1.4
61,0 days 01:01:40.287000,22.4,36.9,1005.9,False,31.1,99,2.6
63,0 days 01:03:40.315000,22.4,37.4,1005.8,False,31.1,264,1.0
65,0 days 01:05:40.338000,22.4,37.4,1005.8,False,31.1,264,1.0
66,0 days 01:06:40.358000,22.4,37.4,1005.8,False,31.1,264,1.0
68,0 days 01:08:40.381000,22.4,37.4,1005.8,False,31.1,264,1.0
70,0 days 01:10:40.409000,22.7,36.8,1005.8,False,31.1,210,1.1
71,0 days 01:11:40.421000,23.0,34.0,1005.8,False,31.1,246,1.5
73,0 days 01:13:40.454000,22.5,35.3,1005.8,False,31.1,283,1.5
75,0 days 01:15:40.479000,22.9,34.7,1005.8,False,31.5,209,1.3
77,0 days 01:17:40.503000,22.7,34.2,1005.8,False,31.6,117,1.4
78,0 days 01:18:40.518000,22.4,35.2,1005.7,False,31.3,97,2.4
80,0 days 01:20:40.547000,21.6,36.6,1005.7,False,31.7,82,3.3
82,0 days 01:22:40.573000,21.5,37.2,1005.7,False,31.7,110,3.0
84,0 days 01:24:40.599000,22.0,37.0,1005.8,False,31.3,78,1.2
85,0 days 01:25:40.612000,22.0,37.0,1005.8,False,31.3,78,1.2
87,0 days 01:27:40.639000,22.9,35.3,1005.6,False,32.1,265,1.7
88,0 days 01:28:40.654000,22.9,35.3,1005.6,False,32.1,265,1.7
90,0 days 01:30:40.680000,23.1,34.3,1005.6,False,32.0,29,0.8
92,0 days 01:32:40.709000,23.1,34.5,1005.6,False,32.2,139,1.0
93,0 days 01:33:40.723000,23.0,34.4,1005.4,False,32.0,120,1.3
95,0 days 01:35:40.750000,23.0,35.2,1005.4,False,31.9,45,1.4
97,0 days 01:37:40.777000,22.9,34.8,1005.3,False,31.7,0,0.8
98,0 days 01:38:40.793000,22.8,35.1,1005.3,False,31.7,87,1.0
100,0 days 01:40:40.824000,22.4,36.2,1005.4,False,31.8,84,2.4
102,0 days 01:42:40.848000,22.5,35.7,1005.2,False,31.9,103,1.3
103,0 days 01:43:40.859000,22.4,36.1,1005.1,False,31.9,121,1.7
105,0 days 01:45:40.887000,22.7,36.1,1005.2,False,31.6,107,1.2
107,0 days 01:47:40.914000,22.5,36.2,1005.2,False,31.0,93,2.0
108,0 days 01:48:40.929000,22.2,36.2,1005.1,False,31.0,89,2.6
110,0 days 01:50:40.955000,22.1,37.0,1005.2,False,31.1,107,3.0
112,0 days 01:52:40.983000,22.2,37.0,1005.1,False,31.1,101,2.0
113,0 days 01:53:40.995000,22.2,36.9,1005.2,False,31.4,117,2.2
115,0 days 01:55:41.024000,22.6,36.1,1005.2,False,31.8,91,1.4
116,0 days 01:56:41.037000,22.6,35.7,1005.1,False,31.9,117,2.2
118,0 days 01:58:41.064000,22.7,35.5,1005.0,False,32.2,140,2.0
